,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
240,2012,1,2300,1190,215.65,BOS,PHX,BOSPHX
241,2012,2,2300,1411,232.58,BOS,PHX,BOSPHX
242,2012,3,2300,1112,234.12,BOS,PHX,BOSPHX
243,2012,4,2300,1185,240.33,BOS,PHX,BOSPHX
244,2013,1,2300,1102,244.01,BOS,PHX,BOSPHX
245,2011,3,2704,3709,319.63,BOS,SFO,BOSSFO
246,2011,4,2704,3235,302.87,BOS,SFO,BOSSFO
247,2012,1,2704,2630,284.22,BOS,SFO,BOSSFO
248,2012,2,2704,3722,326.7,BOS,SFO,BOSSFO
249,2012,3,2704,3962,327.71,BOS,SFO,BOSSFO
250,2012,4,2704,3414,326.23,BOS,SFO,BOSSFO
251,2013,1,2704,2712,338.24,BOS,SFO,BOSSFO
252,2011,3,2496,1384,297.27,BOS,SEA,BOSSEA
253,2011,4,2496,951,274.34,BOS,SEA,BOSSEA
254,2012,1,2496,735,255.47,BOS,SEA,BOSSEA
255,2012,2,2496,1151,290.9,BOS,SEA,BOSSEA
256,2012,3,2496,1327,308.66,BOS,SEA,BOSSEA
257,2012,4,2496,971,292.37,BOS,SEA,BOSSEA
258,2013,1,2496,693,282.85,BOS,SEA,BOSSEA
259,2011,3,599,1000,225.43,CLT,ORD,CLTORD
260,2011,4,599,894,239.54,CLT,ORD,CLTORD
261,2012,1,599,689,275.7,CLT,ORD,CLTORD
262,2012,2,599,984,240.24,CLT,ORD,CLTORD
263,2012,3,599,987,257.74,CLT,ORD,CLTORD
264,2012,4,599,966,248.33,CLT,ORD,CLTORD
265,2013,1,599,772,266.08,CLT,ORD,CLTORD
266,2011,3,936,658,273.86,CLT,DFW,CLTDFW
267,2011,4,936,569,320.96,CLT,DFW,CLTDFW
268,2012,1,936,600,309.67,CLT,DFW,CLTDFW
269,2012,2,936,754,297.69,CLT,DFW,CLTDFW
270,2012,3,936,628,301.01,CLT,DFW,CLTDFW
271,2012,4,936,746,264.22,CLT,DFW,CLTDFW
272,2013,1,936,637,291.24,CLT,DFW,CLTDFW
273,2011,3,1337,391,296.21,CLT,DEN,CLTDEN
274,2011,4,1337,375,274.79,CLT,DEN,CLTDEN
275,2012,1,1337,347,281.24,CLT,DEN,CLTDEN
276,2012,2,1337,395,285.72,CLT,DEN,CLTDEN
277,2012,3,1337,427,293.69,CLT,DEN,CLTDEN
278,2012,4,1337,399,293.73,CLT,DEN,CLTDEN
279,2013,1,1337,365,293.58,CLT,DEN,CLTDEN
280,2011,3,500,393,236.79,CLT,DTW,CLTDTW
281,2011,4,500,338,267.95,CLT,DTW,CLTDTW
282,2012,1,500,318,277.97,CLT,DTW,CLTDTW
283,2012,2,500,426,256.87,CLT,DTW,CLTDTW
284,2012,3,500,357,276.51,CLT,DTW,CLTDTW
285,2012,4,500,390,261.57,CLT,DTW,CLTDTW
286,2013,1,500,311,299.88,CLT,DTW,CLTDTW
287,2011,3,920,394,273.2,CLT,IAH,CLTIAH
288,2011,4,920,349,298.66,CLT,IAH,CLTIAH
289,2012,1,920,318,358.81,CLT,IAH,CLTIAH
