,ORIGIN,DEST,AIR_TIME_MEAN,ROUTE
360,SEA,DEN,4593.22,SEADEN
361,SEA,DFW,10713.69,SEADFW
362,SEA,DTW,6018.23,SEADTW
363,SEA,EWR,10639.06,SEAEWR
364,SEA,IAH,10981.23,SEAIAH
365,SEA,JFK,9856.81,SEAJFK
366,SEA,LAS,8020.22,SEALAS
367,SEA,LAX,8050.82,SEALAX
368,SEA,LGA,314.5,SEALGA
369,SEA,MCO,11105.62,SEAMCO
370,SEA,MIA,9427.58,SEAMIA
371,SEA,MSP,3976.57,SEAMSP
372,SEA,ORD,10490.01,SEAORD
373,SEA,PHL,9452.29,SEAPHL
374,SEA,PHX,6332.46,SEAPHX
375,SEA,SEA,19.33,SEASEA
376,SEA,SFO,5255.05,SEASFO
377,SFO,ATL,14791.72,SFOATL
378,SFO,BOS,14109.15,SFOBOS
379,SFO,CLT,15176.21,SFOCLT
380,SFO,DEN,4913.62,SFODEN
381,SFO,DFW,9279.38,SFODFW
382,SFO,DTW,7274.66,SFODTW
383,SFO,EWR,9129.86,SFOEWR
384,SFO,IAH,6140.13,SFOIAH
385,SFO,JFK,20294.78,SFOJFK
386,SFO,LAS,3254.99,SFOLAS
387,SFO,LAX,4139.78,SFOLAX
388,SFO,LGA,293.0,SFOLGA
389,SFO,MCO,4717.06,SFOMCO
390,SFO,MIA,13422.26,SFOMIA
391,SFO,MSP,4438.02,SFOMSP
392,SFO,ORD,13909.54,SFOORD
393,SFO,PHL,11229.57,SFOPHL
394,SFO,PHX,3244.65,SFOPHX
395,SFO,SEA,4863.74,SFOSEA
