,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
100,2012,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2339,258.51,ATL,LAX
101,2012,2,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2943,262.96,ATL,LAX
102,2012,3,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2805,251.9,ATL,LAX
103,2012,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2664,267.67,ATL,LAX
104,2013,1,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2346,276.97,ATL,LAX
105,2013,2,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2979,277.7,ATL,LAX
106,2013,3,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2618,300.99,ATL,LAX
107,2013,4,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,2704,297.13,ATL,LAX
108,2011,1,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",595,3051,133.57,ATL,MIA
109,2011,2,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",595,3517,144.87,ATL,MIA
110,2011,3,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3115,125.48,ATL,MIA
111,2011,4,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3335,125.31,ATL,MIA
112,2012,1,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3154,143.94,ATL,MIA
113,2012,2,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3461,130.12,ATL,MIA
114,2012,3,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3039,124.34,ATL,MIA
115,2012,4,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,2898,154.4,ATL,MIA
116,2013,1,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,2875,166.15,ATL,MIA
117,2013,2,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3240,154.15,ATL,MIA
118,2013,3,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,2668,162.9,ATL,MIA
119,2013,4,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,3372,159.03,ATL,MIA
120,2011,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",906,964,200.59,ATL,MSP
121,2011,2,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",906,1202,216.55,ATL,MSP
122,2011,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1272,205.98,ATL,MSP
123,2011,4,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1121,223.22,ATL,MSP
124,2012,1,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,933,253.81,ATL,MSP
125,2012,2,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1148,231.47,ATL,MSP
126,2012,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",907,1214,208.15,ATL,MSP
