,Date,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
348,2013-01-18,"3,087"
349,2013-01-22,"3,119"
350,2013-01-23,"3,135"
351,2013-01-24,"3,138"
352,2013-01-25,"3,113"
353,2013-01-28,"3,106"
354,2013-01-29,"3,179"
355,2013-01-30,"3,184"
356,2013-01-31,"3,19"
357,2013-02-01,"3,238"
358,2013-02-04,"3,23"
359,2013-02-05,"3,238"
360,2013-02-06,"3,226"
361,2013-02-07,"3,254"
362,2013-02-08,"3,286"
363,2013-02-11,"3,299"
364,2013-02-12,"3,293"
365,2013-02-13,"3,283"
366,2013-02-14,"3,282"
367,2013-02-15,"3,266"
368,2013-02-19,"3,238"
369,2013-02-20,"3,2"
370,2013-02-21,"3,19"
371,2013-02-22,"3,195"
372,2013-02-25,"3,163"
373,2013-02-26,"3,127"
374,2013-02-27,"3,079"
375,2013-02-28,"3,049"
376,2013-03-01,"3,016"
377,2013-03-04,"3,005"
378,2013-03-05,"3,021"
379,,
