,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
200,2011,3,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1464,247.0,BOS,LAS
201,2011,4,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1294,250.65,BOS,LAS
202,2012,1,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1301,247.44,BOS,LAS
203,2012,2,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1625,263.22,BOS,LAS
204,2012,3,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1304,252.61,BOS,LAS
205,2012,4,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1284,242.82,BOS,LAS
206,2013,1,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1281,250.88,BOS,LAS
207,2013,2,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1565,256.52,BOS,LAS
208,2011,3,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3522,301.57,BOS,LAX
209,2011,4,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3076,282.77,BOS,LAX
210,2012,1,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,2693,264.59,BOS,LAX
211,2012,2,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3524,307.64,BOS,LAX
212,2012,3,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3638,304.98,BOS,LAX
213,2012,4,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3278,288.78,BOS,LAX
214,2013,1,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,2702,279.87,BOS,LAX
215,2013,2,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,3677,295.38,BOS,LAX
216,2011,3,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,2722,166.25,BOS,MIA
217,2011,4,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,3085,187.39,BOS,MIA
218,2012,1,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,4046,199.99,BOS,MIA
219,2012,2,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,3323,201.18,BOS,MIA
220,2012,3,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,2625,180.76,BOS,MIA
221,2012,4,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,3313,191.74,BOS,MIA
222,2013,1,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,4185,197.89,BOS,MIA
223,2013,2,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,3466,186.08,BOS,MIA
224,2011,3,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1461,244.29,BOS,MSP
225,2011,4,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1125,261.41,BOS,MSP
226,2012,1,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,775,285.78,BOS,MSP
227,2012,2,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1295,281.49,BOS,MSP
228,2012,3,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1438,254.85,BOS,MSP
229,2012,4,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1108,275.65,BOS,MSP
230,2013,1,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,783,290.16,BOS,MSP
231,2013,2,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1306,281.99,BOS,MSP
232,2011,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3558,192.74,BOS,JFK
233,2011,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3558,192.74,BOS,LGA
234,2011,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3558,192.74,BOS,EWR
235,2011,4,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3671,190.77,BOS,JFK
236,2011,4,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3671,190.77,BOS,LGA
237,2011,4,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3671,190.77,BOS,EWR
238,2012,1,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3300,194.98,BOS,JFK
239,2012,1,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3300,194.98,BOS,LGA
240,2012,1,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3300,194.98,BOS,EWR
241,2012,2,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3883,201.31,BOS,JFK
242,2012,2,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3883,201.31,BOS,LGA
243,2012,2,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3883,201.31,BOS,EWR
244,2012,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3573,191.49,BOS,JFK
245,2012,3,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3573,191.49,BOS,LGA
