,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
181,LAS,"Las Vegas, NV",DEN,"Denver, CO",4407.42
182,LAS,"Las Vegas, NV",DFW,"Dallas/Fort Worth, TX",8735.49
183,LAS,"Las Vegas, NV",DTW,"Detroit, MI",8140.47
184,LAS,"Las Vegas, NV",EWR,"Newark, NJ",9771.91
185,LAS,"Las Vegas, NV",IAH,"Houston, TX",8050.19
186,LAS,"Las Vegas, NV",JFK,"New York, NY",14375.58
187,LAS,"Las Vegas, NV",LAS,"Las Vegas, NV",19.0
188,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",2452.01
189,LAS,"Las Vegas, NV",LGA,"New York, NY",275.5
190,LAS,"Las Vegas, NV",MCO,"Orlando, FL",7931.28
191,LAS,"Las Vegas, NV",MIA,"Miami, FL",11109.13
192,LAS,"Las Vegas, NV",MSP,"Minneapolis, MN",4477.56
193,LAS,"Las Vegas, NV",ORD,"Chicago, IL",9918.59
194,LAS,"Las Vegas, NV",PHL,"Philadelphia, PA",11150.72
195,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",3300.09
196,LAS,"Las Vegas, NV",SEA,"Seattle, WA",8294.41
197,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",3322.06
198,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",12191.76
199,LAX,"Los Angeles, CA",BOS,"Boston, MA",9909.71
200,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",13922.77
201,LAX,"Los Angeles, CA",DEN,"Denver, CO",5086.15
202,LAX,"Los Angeles, CA",DFW,"Dallas/Fort Worth, TX",9797.87
203,LAX,"Los Angeles, CA",DTW,"Detroit, MI",6906.55
204,LAX,"Los Angeles, CA",EWR,"Newark, NJ",8889.14
205,LAX,"Los Angeles, CA",IAH,"Houston, TX",8407.75
206,LAX,"Los Angeles, CA",JFK,"New York, NY",34472.82
207,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",2526.3
208,LAX,"Los Angeles, CA",LAX,"Los Angeles, CA",98.7
209,LAX,"Los Angeles, CA",LGA,"New York, NY",311.0
210,LAX,"Los Angeles, CA",MCO,"Orlando, FL",5840.85
211,LAX,"Los Angeles, CA",MIA,"Miami, FL",9455.93
212,LAX,"Los Angeles, CA",MSP,"Minneapolis, MN",5119.02
213,LAX,"Los Angeles, CA",ORD,"Chicago, IL",13196.34
214,LAX,"Los Angeles, CA",PHL,"Philadelphia, PA",10264.42
215,LAX,"Los Angeles, CA",PHX,"Phoenix, AZ",3238.37
216,LAX,"Los Angeles, CA",SEA,"Seattle, WA",8674.52
217,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",4222.25
218,LGA,"New York, NY",ATL,"Atlanta, GA",10282.39
219,LGA,"New York, NY",BOS,"Boston, MA",4416.51
220,LGA,"New York, NY",CLT,"Charlotte, NC",5754.84
221,LGA,"New York, NY",DEN,"Denver, CO",8815.12
222,LGA,"New York, NY",DFW,"Dallas/Fort Worth, TX",25962.22
